,index,RegistryDate,ExpirationDate,HostCountry,DomainAge,ExpYear,ExpMonth,ExpDay,URLType
0,0,2014-09-30 18:33:47,2020-09-30 18:33:47,CN,1992,2020.0,9.0,30.0,1
1,0,2005-07-19 14:50:34,2026-07-19 14:50:34,US,5352,2026.0,7.0,19.0,0
2,0,2016-08-08 18:53:41,2020-08-08 18:53:41,CN,1314,2020.0,8.0,8.0,1
3,0,2009-04-03 20:00:00,2020-04-03 21:00:00,,3998,2020.0,4.0,3.0,0
4,0,,,,0,0.0,0.0,0.0,0
5,0,2000-01-21 16:28:17,2021-01-21 16:28:17,US,7358,2021.0,1.0,21.0,0
6,0,2014-03-31 08:10:16,2023-03-31 08:10:16,US,2176,2023.0,3.0,31.0,1
7,0,,,,0,0.0,0.0,0.0,1
8,0,1993-09-30 04:00:00,2025-09-29 04:00:00,US,9663,2025.0,9.0,29.0,0
9,0,2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3554,2023.0,6.0,22.0,1
10,0,1991-07-25 04:00:00,2028-07-24 04:00:00,US,10461,2028.0,7.0,24.0,0
11,0,1991-07-25 04:00:00,2028-07-24 04:00:00,US,10461,2028.0,7.0,24.0,0
12,0,,,,0,0.0,0.0,0.0,0
13,0,2014-07-04 07:35:02,2021-07-04 07:35:02,CN,2081,2021.0,7.0,4.0,1
14,0,1993-09-30 04:00:00,2025-09-29 04:00:00,US,9663,2025.0,9.0,29.0,0
15,0,2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3554,2023.0,6.0,22.0,1
16,0,,,,0,0.0,0.0,0.0,0
17,0,2009-12-21 01:20:46,2020-12-21 01:20:46,CN,3737,2020.0,12.0,21.0,1
18,0,2009-10-29 02:40:57,2021-10-29 02:40:57,AU,3790,2021.0,10.0,29.0,0
19,0,2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3554,2023.0,6.0,22.0,1
20,0,2020-01-16 19:28:14,2021-01-16 19:28:14,China,58,2021.0,1.0,16.0,1
21,0,2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3554,2023.0,6.0,22.0,1
22,0,,,,0,0.0,0.0,0.0,1
23,0,2013-02-27 09:47:42,2021-02-27 09:47:41,,2573,2021.0,2.0,27.0,0
24,0,2012-03-06 20:59:19,2021-03-06 20:59:19,,2930,2021.0,3.0,6.0,1
25,0,2014-07-04 07:35:02,2021-07-04 07:35:02,CN,2081,2021.0,7.0,4.0,1
26,0,2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3554,2023.0,6.0,22.0,1
27,0,2012-03-06 20:59:19,2021-03-06 20:59:19,CN,2930,2021.0,3.0,6.0,1
28,0,2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3554,2023.0,6.0,22.0,1
29,0,,,,0,0.0,0.0,0.0,1
30,0,2003-10-12 22:23:19,2021-10-12 22:23:19,US,5998,2021.0,10.0,12.0,1
31,0,2010-04-04 20:54:03,2020-04-04 20:54:03,IL,3632,2020.0,4.0,4.0,0
32,0,1993-09-30 04:00:00,2025-09-29 04:00:00,US,9663,2025.0,9.0,29.0,0
33,0,2012-07-19 22:45:03,2020-07-19 22:45:03,RU,2795,2020.0,7.0,19.0,1
34,0,2011-04-29 11:29:16,2020-04-29 11:29:16,US,3243,2020.0,4.0,29.0,0
35,0,2002-10-05 17:45:24,2020-10-05 17:45:24,US,6370,2020.0,10.0,5.0,0
36,0,,,,0,0.0,0.0,0.0,1
37,0,1996-09-17 04:00:00,2020-09-16 04:00:00,US,8580,2020.0,9.0,16.0,0
38,0,2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3554,2023.0,6.0,22.0,1
39,0,2013-01-29 09:58:25,2021-01-29 09:58:25,US,2602,2021.0,1.0,29.0,0
40,0,2014-12-31 06:05:20,2021-12-31 06:05:20,US,1901,2021.0,12.0,31.0,1
41,0,2001-10-21 19:11:37,2020-10-21 19:11:37,US,6719,2020.0,10.0,21.0,0
42,0,1998-05-27 04:00:00,2020-05-26 04:00:00,,7963,2020.0,5.0,26.0,0
43,0,,,,0,0.0,0.0,0.0,1
44,0,1991-07-25 04:00:00,2028-07-24 04:00:00,US,10461,2028.0,7.0,24.0,0
45,0,1996-05-01 04:00:00,2020-05-02 04:00:00,,8719,2020.0,5.0,2.0,0
46,0,,,,0,,,,0
47,0,,,,0,0.0,0.0,0.0,0
48,0,2009-01-21 19:21:42,2023-07-16 03:59:59,US,4070,2023.0,7.0,16.0,0
